时间,曝气速率,搅拌器功率(pw2),底物进料速度(Fs2),底物进料温度(Tf2),底物浓度, 溶氧浓度,生物量,体积,CO2,ph,温度,产热,FLA酸流速,FLB碱流速,FLC冷却加热水流速,青霉素浓度
2.2204460492503091e-16,8.563429704048557,30.06049347274579,-0.0069527529663165905,295.424353341274,15.919234787750517,1.1059906132371358,0.11551375203380235,101.99241299162355,0.6602032780322176,5.006366432192532,297.8916388026967,-0.012072387469585031,-0.0048473480009330935,-0.0074506250305375644,0.03429066672112076,0.007524924314257325
5.0,8.494880445266041,30.026569185459664,0.010685654036282438,295.3891145709691,15.815054169054525,1.1352999045642396,0.15863086013713193,101.89939560178419,0.5528671867943055,4.987584067464679,296.8340492779104,0.41436867439183017,0.026293935825593168,0.06077600515676675,0.006037179815580943,0.011260528770070017
10.0,8.45145510466422,29.91963791606085,-0.017491366645822595,295.36499054084294,15.579245292747872,1.140149270880712,0.27622649058913074,101.768684814232,0.644764261154124,4.975846600410689,296.8609009485336,1.0296656279674739,0.025829451210188537,-0.012177690530223346,-0.021700829485021285,-0.008549301859543567
15.0,8.471630642863946,29.94215544611342,0.003824657048187994,295.40586385302237,15.20153047073507,1.1086352886750388,0.44315418499783715,101.6677265613832,0.8255688978811702,5.010011929906851,296.906419726231,2.0875838158038573,-0.014558497009273336,-0.003308738121729136,-0.02256431858251943,-0.007135181900922899
20.0,8.501872305952688,29.95052287540832,0.011962744091043392,295.4004554476179,14.528141142758791,1.0867258537509732,0.7126906529564372,101.53492956833001,0.7186406743298304,4.96037748769732,297.01447152971474,3.784675482819315,-0.02904884578298301,-0.01822606161641978,0.024174911964275625,-0.0073960105583454035
25.0,8.512030242713378,29.932591500509236,-0.006670622357702924,295.4002714580988,13.49420166852939,1.0916781115227694,1.173799302860917,101.40702564926158,0.793525154977441,4.976660185788133,297.1792514647246,6.509792098620647,0.005419888208945473,0.005637033011146842,0.003598970758949334,-0.0036472517258213802
30.0,8.601796934469876,29.946737784642064,-0.007165690356792811,295.4059405900822,11.767002491904927,1.049229741656253,1.9061301151866978,101.28248207865796,0.8481043565667545,4.978163856331692,297.4192978410359,10.983311575922796,-0.00011983922171997273,0.02580677770205761,0.027095810820715296,0.011925593565707496
35.0,8.615273209527526,29.915306637825115,0.03706792313817678,295.41528262599473,9.022988370689362,1.045686097418529,3.0788592345043133,101.18097027417053,1.03902688632262,4.934360239339051,297.55507168533956,18.100416272090612,0.011755838304129422,0.012284495770590192,35.158496942457646,0.005765600162865816
40.0,8.580019120618935,29.888977919875245,-0.00029317036880346665,295.43360059197715,4.8690207178230915,1.0149188442277786,4.827662894914088,101.04810855687985,1.378498993676778,4.908817506135792,297.3334076017658,28.683554358926482,0.004167320917988106,0.002303059816314951,18.130728650262576,-0.0048487308295115245
45.0,8.633170142344294,29.90305457884743,0.015475754586349037,295.434015919944,0.29321150010013264,1.055365549188739,6.7207058267364035,100.92260832120844,1.6505333245196243,5.093028060718795,297.3463316192546,40.05338631678043,0.003337107964928957,-0.012973381916906123,-0.009150760789004557,0.017021162485767453
50.0,8.636923941537184,29.94229928166617,0.05799663472849875,295.474248192263,0.11192468719643943,1.072179693522957,6.955357507385424,100.95948804874956,1.7030170633852053,5.206877544334066,297.73193978765283,41.600388697125645,-0.01540278678921393,0.010507763212581449,89.19574025388775,0.11089468914583914
55.0,8.615000697041745,29.930540786147432,0.047720955662240286,295.4686414587404,0.08565119149889983,1.0637652502960422,7.2067715706456665,101.06300942538716,1.6484574468241249,5.052764206866191,297.1545352172404,43.20308520512322,-0.01648669110422203,0.003917729840365852,0.004524711633263237,0.15816290476327827
60.0,8.600429369663553,29.94456323947638,0.03143787258169838,295.4012400633725,0.09312049921598364,1.069080511998857,7.497693339292129,101.18034132534873,1.6144447110594098,5.02418005389023,297.4632878917764,44.75012965550628,0.019813587638439305,0.020995630417240722,20.055939346791753,0.21928003475372143
65.0,8.5807284599689,29.93109843759652,0.05941017662825488,295.4189328542227,0.1015609750963963,1.0530814917839653,7.720814478398915,101.22714343853173,1.7445234794977793,5.033984885997737,297.38101116576905,46.33778573059545,0.00933887805069546,0.00878011999194463,66.79587998511944,0.272892248951987
70.0,8.558220383077623,29.972341895204682,0.058244951193122056,295.4435928565204,0.08276538374814627,1.0717007185383927,7.960056897265081,101.33135338593834,1.8102622115342633,4.995658953638121,297.4651317804684,47.78826803551423,-0.0011391816511534068,-0.008115198629552192,-0.00814129477135437,0.31169719924470735
75.0,8.533905258009536,30.05680334922706,0.0683748919650636,295.4420108527071,0.0775717952471328,1.0642337725050417,8.215315602833211,101.39406802315776,1.778709293035563,5.019524454321329,297.4410374030692,49.25601302471083,0.00751055992625282,-0.0011694118085921828,88.53632203520709,0.3536014377528039
80.0,8.550130114774014,30.154452837019164,0.018845932041218823,295.45246590497396,0.07357233006493216,1.0641092392501137,8.408315707155165,101.51611579914014,1.8685571002084387,4.979761531071539,297.1334367272637,50.609186780386516,-0.003946803233773292,-0.002980679600007137,0.02443699289953716,0.41816395841768217
85.0,8.561430175592594,30.149527470550517,0.04700479737965659,295.4676420358991,0.08741622967275445,1.0770396389346464,8.641010246748298,101.60778836043129,1.849144850858691,4.990116011054434,297.83645630105195,51.87612312230571,0.02125839890315496,0.021568973882216534,102.36569250417838,0.46343572293261914
